Frequency,Magnitude_Phase
Freq.,mag(V(input)/I(R1))
1.54881661891247e+05,"(4.65916539368712e+01dB,0.00000000000000e+00°)"
1.58489319246110e+05,"(4.64005804122700e+01dB,0.00000000000000e+00°)"
1.62181009735891e+05,"(4.62091222916921e+01dB,0.00000000000000e+00°)"
1.65958690743754e+05,"(4.60172954365022e+01dB,0.00000000000000e+00°)"
1.69824365246173e+05,"(4.58251151139672e+01dB,0.00000000000000e+00°)"
1.73780082874936e+05,"(4.56325960143931e+01dB,0.00000000000000e+00°)"
1.77827941003890e+05,"(4.54397522682222e+01dB,0.00000000000000e+00°)"
1.81970085860996e+05,"(4.52465974630419e+01dB,0.00000000000000e+00°)"
1.86208713666285e+05,"(4.50531446604603e+01dB,0.00000000000000e+00°)"
1.90546071796323e+05,"(4.48594064128106e+01dB,0.00000000000000e+00°)"
1.94984459975802e+05,"(4.46653947796477e+01dB,0.00000000000000e+00°)"
1.99526231496886e+05,"(4.44711213440086e+01dB,0.00000000000000e+00°)"
2.04173794466951e+05,"(4.42765972284083e+01dB,0.00000000000000e+00°)"
2.08929613085402e+05,"(4.40818331105490e+01dB,0.00000000000000e+00°)"
2.13796208950221e+05,"(4.38868392387228e+01dB,0.00000000000000e+00°)"
2.18776162394953e+05,"(4.36916254468921e+01dB,0.00000000000000e+00°)"
2.23872113856832e+05,"(4.34962011694326e+01dB,0.00000000000000e+00°)"
2.29086765276775e+05,"(4.33005754555291e+01dB,0.00000000000000e+00°)"
2.34422881531990e+05,"(4.31047569832147e+01dB,0.00000000000000e+00°)"
2.39883291901946e+05,"(4.29087540730470e+01dB,0.00000000000000e+00°)"
2.45470891568500e+05,"(4.27125747014163e+01dB,0.00000000000000e+00°)"
2.51188643150955e+05,"(4.25162265134832e+01dB,0.00000000000000e+00°)"
2.57039578276884e+05,"(4.23197168357443e+01dB,0.00000000000000e+00°)"
2.63026799189535e+05,"(4.21230526882255e+01dB,0.00000000000000e+00°)"
2.69153480392689e+05,"(4.19262407963047e+01dB,0.00000000000000e+00°)"
